iter,loss,dice,dice_coef,dicePerClass,accuracy,iou_coef

0,0.015984520316123962,0.9892906546592712,0.9892908930778503,0.7682462930679321,0.9933733940124512,0.9790732860565186

1,0.015841994434595108,0.9894083738327026,0.989408552646637,0.7663646340370178,0.9934451580047607,0.9792876243591309

2,0.01888723485171795,0.9879282116889954,0.9879283905029297,0.7534180283546448,0.9923014640808105,0.9765020608901978

3,0.017309384420514107,0.9886859059333801,0.9886859655380249,0.7603908777236938,0.9929134845733643,0.9779407382011414

4,0.015104779042303562,0.9897890090942383,0.9897893071174622,0.7730294466018677,0.9937360286712646,0.9800270795822144

5,0.014707854948937893,0.9900160431861877,0.9900162816047668,0.7758490443229675,0.993880033493042,0.9804534912109375

6,0.014999807812273502,0.9898431301116943,0.9898431897163391,0.7745461463928223,0.9937314987182617,0.9801279306411743

7,0.01446467824280262,0.9901584386825562,0.9901586174964905,0.7774068713188171,0.9939428567886353,0.9807262420654297

8,0.014774930663406849,0.9899494647979736,0.9899495244026184,0.7761836647987366,0.9938138723373413,0.9803242683410645

9,0.014478657394647598,0.990143358707428,0.9901434183120728,0.778187096118927,0.9939311742782593,0.9806967973709106

10,0.014628443866968155,0.9900938272476196,0.9900938868522644,0.7777292728424072,0.99385005235672,0.9806042313575745

11,0.023885224014520645,0.9855930209159851,0.985593318939209,0.7295262813568115,0.9904186129570007,0.9721164703369141

12,0.01715877093374729,0.9886407256126404,0.9886409640312195,0.7589439153671265,0.9929924607276917,0.9778474569320679

13,0.01521246787160635,0.9897578358650208,0.9897580742835999,0.7706620097160339,0.9936919212341309,0.9799603223800659

14,0.01528497226536274,0.9896959662437439,0.989696204662323,0.7729054689407349,0.9936590790748596,0.9798489809036255

15,0.014605595730245113,0.9900560975074768,0.9900562167167664,0.7761119604110718,0.9938890337944031,0.9805299043655396

16,0.014985891059041023,0.9898471832275391,0.9898474812507629,0.775169849395752,0.9937238097190857,0.9801320433616638

17,0.01662416011095047,0.9890336990356445,0.9890338182449341,0.7673698663711548,0.9930882453918457,0.9786056280136108

18,0.015310539864003658,0.9896318316459656,0.9896319508552551,0.7718757390975952,0.9936397671699524,0.9797239899635315

19,0.014461163431406021,0.9901654720306396,0.9901657104492188,0.7778440117835999,0.9939477443695068,0.9807485938072205

20,0.014389682561159134,0.9901718497276306,0.9901720285415649,0.7800431847572327,0.9939800500869751,0.9807495474815369

21,0.013961209915578365,0.9904338717460632,0.9904341697692871,0.7826473712921143,0.99411940574646,0.9812541604042053

22,0.013915244489908218,0.9904474020004272,0.990447461605072,0.782707154750824,0.9941111207008362,0.9812800884246826

23,0.014248756691813469,0.9902511835098267,0.9902512431144714,0.7800189256668091,0.9940172433853149,0.9808990359306335

24,0.013971713371574879,0.9904333353042603,0.990433394908905,0.7820640802383423,0.9941250085830688,0.9812493324279785

25,0.014044388197362423,0.9903846979141235,0.9903849363327026,0.7823901772499084,0.9940879344940186,0.9811597466468811

26,0.01682787574827671,0.9889141917228699,0.9889143109321594,0.7658811211585999,0.9930090308189392,0.9783782958984375

27,0.018382715061306953,0.9881145358085632,0.988114595413208,0.754501223564148,0.992416262626648,0.9768458604812622

28,0.029832426458597183,0.9833490252494812,0.9833493232727051,0.7139970660209656,0.9886965751647949,0.9679899215698242

29,0.024462014436721802,0.9852732419967651,0.9852733612060547,0.7242099046707153,0.9903455972671509,0.9715111255645752

30,0.020392652601003647,0.9868479371070862,0.9868482351303101,0.7353880405426025,0.9918229579925537,0.9744527339935303

31,0.016322609037160873,0.9890248775482178,0.9890249371528625,0.7613644003868103,0.9932886958122253,0.9785698056221008

32,0.01562211662530899,0.9894490838050842,0.9894492626190186,0.766467273235321,0.9935635924339294,0.9793732166290283

33,0.01513521559536457,0.9897181391716003,0.9897183179855347,0.7705202102661133,0.9937191009521484,0.9798881411552429

34,0.014629838988184929,0.9899924993515015,0.9899926781654358,0.7753747701644897,0.9939188957214355,0.9804109930992126

35,0.014388159848749638,0.9901322722434998,0.9901323318481445,0.7780525088310242,0.993993878364563,0.9806771278381348

36,0.014088883996009827,0.990312933921814,0.9903131723403931,0.7800382375717163,0.9940961599349976,0.9810236096382141

37,0.013974613510072231,0.9903668165206909,0.9903669357299805,0.7815353274345398,0.9941619634628296,0.98112553358078

38,0.01413861382752657,0.9902699589729309,0.9902702569961548,0.7816305756568909,0.9940856695175171,0.9809418320655823

39,0.013896298594772816,0.9904199838638306,0.9904201030731201,0.7817970514297485,0.9941636919975281,0.9812279939651489

40,0.013919822871685028,0.9903929829597473,0.9903931021690369,0.7822569012641907,0.9941572546958923,0.9811763763427734

41,0.013940027914941311,0.9903868436813354,0.9903870224952698,0.7832077741622925,0.9941447377204895,0.9811645746231079

42,0.014012850821018219,0.990368127822876,0.9903683066368103,0.7817670106887817,0.9941321015357971,0.9811293482780457

43,0.013865104876458645,0.9904409050941467,0.990441083908081,0.7820084691047668,0.9941712617874146,0.9812645316123962

44,0.013755196705460548,0.9905197620391846,0.9905198216438293,0.7838234305381775,0.9942147135734558,0.981416642665863

45,0.013958104886114597,0.9904022812843323,0.9904026389122009,0.7843074798583984,0.9941242933273315,0.9811953902244568

46,0.014408002607524395,0.9901111125946045,0.9901113510131836,0.7787501215934753,0.9939771890640259,0.9806373119354248

47,0.014041022397577763,0.9903672933578491,0.9903674125671387,0.7828584909439087,0.994082510471344,0.9811288714408875

48,0.014816556125879288,0.9900035858154297,0.990003764629364,0.777915894985199,0.9938384890556335,0.9804386496543884

49,0.01564478501677513,0.9895153045654297,0.989515483379364,0.7722778916358948,0.993520975112915,0.9795016646385193

50,0.014800618402659893,0.9899718165397644,0.9899718761444092,0.7757084369659424,0.9938145875930786,0.9803655743598938

51,0.014455096796154976,0.990138053894043,0.9901382327079773,0.7795018553733826,0.9939368367195129,0.9806833267211914

52,0.015479745343327522,0.9896050691604614,0.9896052479743958,0.7732594013214111,0.9935789704322815,0.9796629548072815

53,0.014545750804245472,0.9901219010353088,0.9901221394538879,0.777820885181427,0.9938808679580688,0.9806569814682007

54,0.014475507661700249,0.9901318550109863,0.9901319146156311,0.7787966728210449,0.993905782699585,0.980674684047699

55,0.014662683941423893,0.9901036024093628,0.9901039004325867,0.7805811762809753,0.9938290119171143,0.9806458950042725

56,0.01583373174071312,0.9894004464149475,0.9894005060195923,0.770467221736908,0.9934400320053101,0.9792839288711548

57,0.014687406830489635,0.9900126457214355,0.9900127053260803,0.779396653175354,0.9938282370567322,0.9804567694664001

58,0.01418415829539299,0.990268349647522,0.9902684688568115,0.7812202572822571,0.9940312504768372,0.9809370636940002

59,0.013711865060031414,0.9905476570129395,0.9905478954315186,0.7853579521179199,0.9942154288291931,0.9814723134040833

60,0.01350519061088562,0.9906653165817261,0.9906653761863708,0.78661048412323,0.9942688941955566,0.9816943407058716

61,0.013716219924390316,0.9905503392219543,0.9905503988265991,0.7858100533485413,0.9941892027854919,0.981478750705719

62,0.013695207424461842,0.9905714988708496,0.9905716180801392,0.7859199643135071,0.9942000508308411,0.9815196990966797

63,0.013815894722938538,0.9904916286468506,0.9904918670654297,0.7851841449737549,0.9941630959510803,0.9813647866249084

64,0.013997912406921387,0.9903836846351624,0.9903839826583862,0.7832590937614441,0.9940943121910095,0.9811576008796692

65,0.013783806934952736,0.990537703037262,0.9905378222465515,0.7844308018684387,0.9941542148590088,0.9814525842666626

66,0.017105748876929283,0.9889538288116455,0.9889541864395142,0.7680069804191589,0.9929812550544739,0.9784339666366577

67,0.016891930252313614,0.9889123439788818,0.9889125227928162,0.7634024620056152,0.9929966330528259,0.978350043296814

68,0.02227788232266903,0.986991822719574,0.9869919419288635,0.7484778165817261,0.9913263916969299,0.9748702049255371

69,0.02121375873684883,0.986823558807373,0.9868236780166626,0.7420168519020081,0.9914672374725342,0.9745011925697327

70,0.015177614986896515,0.989707350730896,0.9897074699401855,0.7736525535583496,0.9936808943748474,0.9798742532730103

71,0.014385257847607136,0.9901495575904846,0.9901496171951294,0.7784209251403809,0.993980348110199,0.9807106852531433

72,0.014126674272119999,0.9902989268302917,0.9902990460395813,0.7823663949966431,0.9940672516822815,0.9809985160827637

