,loss,dice,accuracy,mean_io_u
0,0.666558563709259,0.5135778188705444,0.9226928949356079,0.25
1,0.5584409832954407,0.5734446048736572,0.9879646301269531,0.25
2,0.23767109215259552,0.8060731887817383,0.9879646301269531,0.25
3,0.09582318365573883,0.984107494354248,0.9879646301269531,0.25
4,0.07999186962842941,0.9852637052536011,0.9879646301269531,0.25
5,0.06787145137786865,0.9733284115791321,0.9879646301269531,0.25
6,0.06840209662914276,0.9651025533676147,0.9879646301269531,0.25
7,0.06465329229831696,0.9730124473571777,0.9879646301269531,0.25
8,0.06748591363430023,0.9792100787162781,0.9879646301269531,0.25
9,0.06669924408197403,0.9763725996017456,0.9879646301269531,0.25
10,0.06584027409553528,0.9761093258857727,0.9879646301269531,0.25
11,0.06538032740354538,0.9750756025314331,0.9879646301269531,0.25
12,0.0657830461859703,0.9729210138320923,0.9879646301269531,0.25
13,0.06676089763641357,0.976384162902832,0.9879646301269531,0.25
14,0.06541367620229721,0.9771367311477661,0.9879646301269531,0.25
15,0.06542416661977768,0.9752277135848999,0.9879646301269531,0.25
16,0.06526733934879303,0.9749268293380737,0.9879646301269531,0.25
17,0.06545663625001907,0.9744086265563965,0.9879646301269531,0.25
18,0.06514250487089157,0.9747292399406433,0.9879646301269531,0.25
19,0.06503991037607193,0.9757832288742065,0.9879646301269531,0.25
20,0.06470004469156265,0.9762262105941772,0.9879646301269531,0.25
21,0.06445378065109253,0.9747616052627563,0.9879646301269531,0.25
22,0.0645713359117508,0.9752365350723267,0.9879646301269531,0.25
23,0.06443074345588684,0.9766265749931335,0.9879646301269531,0.25
24,0.06400685757398605,0.9772295951843262,0.9879646301269531,0.25
25,0.06378810107707977,0.975805401802063,0.9879646301269531,0.25
26,0.06385138630867004,0.975136399269104,0.9879646301269531,0.25
27,0.06352414190769196,0.9758321642875671,0.9879646301269531,0.25
28,0.06358683854341507,0.975286602973938,0.9879646301269531,0.25
29,0.06352515518665314,0.9760313034057617,0.9879646301269531,0.25
30,0.06343856453895569,0.9750933647155762,0.9879646301269531,0.25
31,0.06292911618947983,0.9753610491752625,0.9879646301269531,0.25
