iter,loss,dice,accuracy,mean_io_u
89,0.007618760224431753,0.9955506920814514,0.9969477653503418,0.6294145584106445

90,0.0074378857389092445,0.9956573843955994,0.9970052242279053,0.6200222969055176

91,0.007809283211827278,0.9954720139503479,0.9968982338905334,0.5540523529052734

92,0.0077837081626057625,0.995474100112915,0.9968815445899963,0.5770171284675598

93,0.009141238406300545,0.9947908520698547,0.9964626431465149,0.5446968078613281

94,0.0421900600194931,0.9791014790534973,0.9849756956100464,0.4020426869392395

95,0.021147411316633224,0.9884814620018005,0.9925727248191833,0.38874733448028564

96,0.011938828974962234,0.9931885600090027,0.9954056143760681,0.4898308515548706

97,0.011635152623057365,0.9933358430862427,0.995494544506073,0.5048502087593079

98,0.008924154564738274,0.9947975873947144,0.996467113494873,0.5806893110275269

99,0.008227391168475151,0.9952102899551392,0.9967086911201477,0.6516863107681274

