iter,loss,dice,accuracy,mean_io_u

0,0.10205256193876266,0.9532522559165955,0.9737785458564758,0.2590259909629822

1,0.0893290564417839,0.9562100172042847,0.9747598767280579,0.2524509131908417

2,0.08735708147287369,0.9564710855484009,0.9746880531311035,0.2511284053325653

3,0.08527683466672897,0.9577423930168152,0.9737249612808228,0.2529839873313904

4,0.0788005068898201,0.9599364399909973,0.9749638438224792,0.2578645944595337

5,0.07585108280181885,0.9608486890792847,0.9754166007041931,0.2574194669723511

6,0.06938178837299347,0.9642805457115173,0.9769902229309082,0.25286048650741577

7,0.07059293240308762,0.9633600115776062,0.9762147665023804,0.2536122500896454

8,0.06306827813386917,0.9667021036148071,0.9787487387657166,0.2609752118587494

9,0.05954235419631004,0.969332218170166,0.98026442527771,0.2587004005908966

10,0.05584914609789848,0.9706533551216125,0.9813167452812195,0.25615108013153076

11,0.05451909080147743,0.9710465669631958,0.9814451932907104,0.25628861784935

12,0.04943045228719711,0.9739376902580261,0.9829915165901184,0.25756219029426575

13,0.0449298657476902,0.9759837985038757,0.9842584133148193,0.27749770879745483

14,0.040362462401390076,0.9782497882843018,0.9857734441757202,0.27092495560646057

15,0.03995129093527794,0.9782673716545105,0.9857556819915771,0.28771695494651794

16,0.03661906719207764,0.9799012541770935,0.9867351055145264,0.2959459125995636

17,0.0318136140704155,0.982620120048523,0.9883612990379333,0.31866955757141113

18,0.03716721758246422,0.9798974990844727,0.9868211150169373,0.2997676134109497

19,0.031472720205783844,0.9828595519065857,0.9885861873626709,0.3113948106765747

20,0.025559278205037117,0.985508143901825,0.9903870820999146,0.3449065685272217

21,0.024160243570804596,0.9864460825920105,0.9909182786941528,0.3447690010070801

22,0.02072976902127266,0.9883943796157837,0.9922677874565125,0.35580092668533325

23,0.0220351442694664,0.9877683520317078,0.9917745590209961,0.3419278860092163

24,0.019629066810011864,0.9889734983444214,0.9925640225410461,0.3626575767993927

25,0.0183775145560503,0.9895890951156616,0.9930281043052673,0.36902156472206116

26,0.01846550963819027,0.9896114468574524,0.9930353164672852,0.38089025020599365

27,0.024100570008158684,0.9866589307785034,0.9910739660263062,0.3393578827381134

28,0.01926136203110218,0.9890879988670349,0.9926283359527588,0.38778090476989746

29,0.020695537328720093,0.9884068965911865,0.992318868637085,0.3696674108505249

30,0.026185261085629463,0.9858547449111938,0.9907148480415344,0.336289644241333

31,0.017949283123016357,0.989931046962738,0.9932852983474731,0.378828763961792

32,0.015057451091706753,0.9914800524711609,0.9942725896835327,0.41131287813186646

33,0.013179510831832886,0.9924741387367249,0.9949115514755249,0.4656623303890228

34,0.012654009275138378,0.9927867650985718,0.9951136708259583,0.4611147940158844

35,0.012709157541394234,0.9927726984024048,0.9951071739196777,0.43964290618896484

36,0.023178409785032272,0.9873195886611938,0.9914500117301941,0.36397942900657654

37,0.016392359510064125,0.9907038807868958,0.9938058257102966,0.42702391743659973

38,0.012526643462479115,0.9927871823310852,0.9951496720314026,0.48301905393600464

39,0.012985971756279469,0.9927312731742859,0.9950464963912964,0.4850594699382782

40,0.013702821917831898,0.9921814203262329,0.9947380423545837,0.4923936724662781

41,0.012303970754146576,0.9929282069206238,0.9952225089073181,0.4983121454715729

42,0.010836285538971424,0.9937402009963989,0.995736837387085,0.5160434246063232

43,0.010733361355960369,0.9938473701477051,0.9958122372627258,0.5370203256607056

44,0.013770071789622307,0.9927188158035278,0.9950911998748779,0.49846917390823364

45,0.025055890902876854,0.986270010471344,0.9907885789871216,0.37694165110588074

46,0.02053310163319111,0.9887353181838989,0.9925104975700378,0.38394659757614136

47,0.013399763964116573,0.9923893809318542,0.9948845505714417,0.459817111492157

48,0.011107144877314568,0.9935980439186096,0.9956557750701904,0.529523491859436

49,0.010058615356683731,0.9941774606704712,0.9960748553276062,0.5628820061683655

50,0.009510395117104053,0.9944913983345032,0.9962100386619568,0.5773884057998657

51,0.009265902452170849,0.9946109056472778,0.9963160753250122,0.5674475431442261

52,0.008954052813351154,0.9947862029075623,0.9964359402656555,0.6047355532646179

53,0.009068680927157402,0.9947309494018555,0.9963868856430054,0.5659840106964111

54,0.008925266563892365,0.9948207139968872,0.9964494109153748,0.5594236254692078

55,0.008450760506093502,0.9950717091560364,0.9966074228286743,0.5659914016723633

56,0.008758129552006721,0.9949068427085876,0.9965071082115173,0.592970609664917

57,0.009604748338460922,0.994417667388916,0.9961920380592346,0.5681609511375427

58,0.009949363768100739,0.9942841529846191,0.9960629343986511,0.5626052618026733

59,0.011684494093060493,0.9933982491493225,0.9955440163612366,0.49537914991378784

60,0.011576957069337368,0.9934826493263245,0.9956066608428955,0.4877815842628479

61,0.00956764817237854,0.9944667816162109,0.9962244629859924,0.5658972263336182

62,0.00952975545078516,0.9945040345191956,0.9962641000747681,0.5587791204452515

63,0.008612916804850101,0.9950301051139832,0.9965977668762207,0.6118829250335693

64,0.010144324973225594,0.9941732287406921,0.996038556098938,0.5498898029327393

65,0.008783424273133278,0.9948983192443848,0.9965079426765442,0.6121512055397034

66,0.00827326625585556,0.9951842427253723,0.996716320514679,0.6086485981941223

67,0.00813465565443039,0.9952510595321655,0.9967300891876221,0.6136914491653442

68,0.01925746724009514,0.989992082118988,0.9934868812561035,0.4265964925289154

69,0.02037879079580307,0.9889259934425354,0.9926535487174988,0.4107440412044525

70,0.011124375276267529,0.9936617612838745,0.9956820607185364,0.5208083391189575

71,0.01084320992231369,0.9938440918922424,0.995830237865448,0.5262875556945801

72,0.01047508418560028,0.9940363764762878,0.9959553480148315,0.5133280158042908

73,0.008630441501736641,0.9949981570243835,0.9965699911117554,0.5779910087585449

74,0.01466846838593483,0.991934061050415,0.9944239854812622,0.5193929672241211

75,0.014768028631806374,0.9917377233505249,0.9945319890975952,0.495969295501709

76,0.010591363534331322,0.9939252138137817,0.995899498462677,0.5072430372238159

77,0.00914700049906969,0.9947024583816528,0.9963729381561279,0.5544034242630005

78,0.008259772323071957,0.9951756596565247,0.9967120885848999,0.610399603843689

79,0.0076034218072891235,0.9955403804779053,0.996938943862915,0.6273020505905151

80,0.007264990359544754,0.9957472085952759,0.9970661401748657,0.6412410736083984

81,0.007089193444699049,0.9958220720291138,0.9971193075180054,0.6762537956237793

82,0.006875195074826479,0.9959450960159302,0.997197151184082,0.6814375519752502

83,0.006812764331698418,0.9959754347801208,0.9972290396690369,0.6757311820983887

84,0.007173044607043266,0.9957705736160278,0.9970759153366089,0.6291330456733704

85,0.00681604677811265,0.9959783554077148,0.997227668762207,0.6551203727722168

86,0.006716968026012182,0.9960508942604065,0.9972707033157349,0.6429699659347534

87,0.007125808857381344,0.9958256483078003,0.9971176385879517,0.6206599473953247

88,0.007333720568567514,0.9957217574119568,0.997050404548645,0.623494565486908

